cohort_month,order_month,user_count
2018-03,2018-03,331
2018-03,2018-04,188
2018-03,2018-05,208
2018-03,2018-06,172
2018-03,2018-07,170
2018-03,2018-08,126
2018-03,2018-09,139
2018-03,2018-10,153
2018-03,2018-11,132
2018-03,2018-12,132
2018-03,2019-01,120
2018-03,2019-02,113
2018-04,2018-04,92
2018-04,2018-05,35
2018-04,2018-06,44
2018-04,2018-07,36
2018-04,2018-08,20
2018-04,2018-09,25
2018-04,2018-10,26
2018-04,2018-11,26
2018-04,2018-12,29
2018-04,2019-01,28
2018-04,2019-02,19
2018-05,2018-05,90
2018-05,2018-06,23
2018-05,2018-07,31
2018-05,2018-08,22
2018-05,2018-09,24
2018-05,2018-10,14
2018-05,2018-11,22
2018-05,2018-12,13
2018-05,2019-01,13
2018-05,2019-02,10
2018-06,2018-06,51
2018-06,2018-07,11
2018-06,2018-08,5
2018-06,2018-09,11
2018-06,2018-10,12
2018-06,2018-11,10
2018-06,2018-12,5
2018-06,2019-01,7
2018-06,2019-02,5
2018-07,2018-07,40
2018-07,2018-08,10
2018-07,2018-09,11
2018-07,2018-10,14
2018-07,2018-11,10
2018-07,2018-12,6
2018-07,2019-01,5
2018-07,2019-02,6
2018-08,2018-08,18
2018-08,2018-09,4
2018-08,2018-10,5
2018-08,2018-11,7
2018-08,2018-12,5
2018-08,2019-01,1
2018-08,2019-02,2
2018-09,2018-09,16
2018-09,2018-10,2
2018-09,2018-11,2
2018-09,2018-12,1
2018-09,2019-01,1
2018-10,2018-10,8
2018-10,2018-11,2
2018-10,2018-12,2
2018-10,2019-02,1
2018-11,2018-11,10
2018-11,2018-12,4
2018-11,2019-01,2
2018-11,2019-02,2
2018-12,2018-12,5
2018-12,2019-01,2
2018-12,2019-02,1
2019-01,2019-01,7
2019-02,2019-02,5
